time,V(101),V(102),V(103),V(104),V(107),V(106),V(108),V(110),V(114),V(111),V(115),V(129),V(109),V(139),V(149),V(154),V(164),V(112),V(212),V(113),V(213)
0,3,2.87235,2.86656,0.987257,0.458936,1.00056,0.461887,0.600324,0.0051448,0.600189,0.00554225,0.00514739,0.00455781,0.00514648,0.00321907,0.999999,1,0.6,0,0.6,-6.61217e-09
5e-11,3,2.83262,2.82987,1.15551,0.539734,1.00151,0.539213,0.600789,0.00564222,0.605027,0.00607714,0.00560487,0.00501305,0.00562863,0.00332061,1.16739,1,0.6,0,0.604361,0.00187381
1e-10,3,2.78972,2.78425,1.31187,0.659305,1.00279,0.6555,0.601177,0.00607582,0.60956,0.0065257,0.0060219,0.00542684,0.00606977,0.00343983,1.3215,1,0.6,0,0.608499,0.00368124
1.5e-10,3,2.7642,2.75409,1.44332,0.784745,1.00372,0.777993,0.601241,0.00639557,0.613341,0.00683694,0.00635971,0.00576251,0.00642987,0.0035713,1.45007,1,0.6,0,0.612204,0.00535826
2e-10,3,2.76149,2.74651,1.53907,0.889167,1.00385,0.879596,0.601035,0.00659433,0.616233,0.00700002,0.00658239,0.00598447,0.00667153,0.0037079,1.5429,1,0.6,0,0.615289,0.00684547
2.5e-10,3,2.77604,2.75678,1.59156,0.958879,1.00323,0.946552,0.60069,0.00666139,0.618215,0.00700636,0.00666567,0.00606801,0.0067693,0.00384149,1.59261,1,0.6,0,0.617601,0.00809016
3e-10,3,2.80156,2.77903,1.59681,0.987262,1.00208,0.972247,0.600276,0.00658103,0.619248,0.00684426,0.00659642,0.00599968,0.00670908,0.00396365,1.59527,1,0.6,0,0.619029,0.00904825
3.5e-10,3,2.83288,2.80836,1.55453,0.972511,1.00064,0.954895,0.599844,0.00635038,0.619315,0.00651668,0.00637311,0.00577773,0.00648881,0.00406633,1.55065,1,0.6,0,0.619509,0.00968582
4e-10,3,2.86584,2.84075,1.46817,0.916752,0.9991,0.896635,0.599432,0.00597958,0.618443,0.00604095,0.00600618,0.00541239,0.0061188,0.00414252,1.46231,1,0.6,0,0.619029,0.00998027
4.5e-10,3,2.89707,2.87282,1.34463,0.825426,0.997633,0.802923,0.599074,0.00549022,0.616703,0.00544633,0.00551742,0.00492527,0.00562118,0.00418683,1.33725,1,0.6,0,0.617626,0.00992115
