time,V(103),V(101),V(102),V(107),V(104),V(115),V(116),V(117),V(118),I(VDD),I(Vin),I(L1),I(L2)
0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.000000000e-09,2.999999467e+00,1.625580750e+00,1.625110218e+00,6.145166691e-01,2.536447390e-01,2.446534264e-01,2.446532467e-01,2.363639665e-01,2.363638482e-01,-7.374315287e-04,-4.867885227e-05,3.594078526e-04,2.366002121e-04
2.000000000e-09,3.000000000e+00,1.750666224e+00,1.750519684e+00,5.427503899e-01,4.959596402e-01,4.868348785e-01,4.868348760e-01,4.783324748e-01,4.783324719e-01,-4.416027398e-04,-1.640467192e-05,3.645036343e-04,2.424474149e-04
3.000000000e-09,3.000000000e+00,1.874762388e+00,1.874601080e+00,4.345087019e-01,7.665986239e-01,7.564371665e-01,7.564371459e-01,7.469821040e-01,7.469820906e-01,-4.839999663e-04,-1.800556771e-05,4.057018596e-04,2.693970704e-04
4.000000000e-09,3.000000000e+00,1.997379643e+00,1.997218344e+00,3.264242260e-01,1.065913820e+00,1.054651333e+00,1.054651312e+00,1.044176409e+00,1.044176394e+00,-5.291044058e-04,-1.812737330e-05,4.494448212e-04,2.982387668e-04
5.000000000e-09,3.000000000e+00,2.118033860e+00,2.117880488e+00,2.372658117e-01,1.375755248e+00,1.364028554e+00,1.364028545e+00,1.353120763e+00,1.353120757e+00,-5.458221118e-04,-1.745523756e-05,4.677037256e-04,3.102978004e-04
6.000000000e-09,3.000000000e+00,2.236248979e+00,2.236105812e+00,1.717009703e-01,1.668542267e+00,1.657364250e+00,1.657364261e+00,1.646964433e+00,1.646964441e+00,-5.177860051e-04,-1.655298847e-05,4.454633300e-04,2.954909781e-04
7.000000000e-09,3.000000000e+00,2.351558359e+00,2.351424560e+00,1.266272565e-01,1.928251485e+00,1.918249486e+00,1.918249510e+00,1.908946491e+00,1.908946507e+00,-4.625423931e-04,-1.573145480e-05,3.981616887e-04,2.638915836e-04
8.000000000e-09,3.000000000e+00,2.463507131e+00,2.463380346e+00,9.516161588e-02,2.148712348e+00,2.140144150e+00,2.140144178e+00,2.132181676e+00,2.132181696e+00,-3.960269724e-04,-1.514199736e-05,3.405877916e-04,2.253678784e-04
9.000000000e-09,3.000000000e+00,2.571653380e+00,2.571532162e+00,7.271011493e-02,2.330087449e+00,2.322965800e+00,2.322965829e+00,2.316357515e+00,2.316357534e+00,-3.292827163e-04,-1.469341072e-05,2.825429936e-04,1.864926295e-04
1.000000000e-08,3.000000000e+00,2.675570303e+00,2.675453870e+00,5.635900802e-02,2.475952537e+00,2.470155157e+00,2.470155184e+00,2.464787584e+00,2.464787602e+00,-2.683641452e-04,-1.431882361e-05,2.294250102e-04,1.508952127e-04
1.100000000e-08,3.000000000e+00,2.774847629e+00,2.774735613e+00,4.425207105e-02,2.591316011e+00,2.586661754e+00,2.586661777e+00,2.582365757e+00,2.582365772e+00,-2.158824761e-04,-1.397643180e-05,1.835836432e-04,1.201610597e-04
1.200000000e-08,3.000000000e+00,2.869093879e+00,2.868986155e+00,3.516881252e-02,2.681433779e+00,2.677728886e+00,2.677728905e+00,2.674323178e+00,2.674323191e+00,-1.723631203e-04,-1.364148348e-05,1.455179790e-04,9.463215710e-05
1.300000000e-08,3.000000000e+00,2.957936941e+00,2.957833527e+00,2.827402627e-02,2.751184513e+00,2.748247364e+00,2.748247379e+00,2.745561826e+00,2.745561836e+00,-1.372191367e-04,-1.329937953e-05,1.147377382e-04,7.398453138e-05
1.400000000e-08,3.000000000e+00,3.041025952e+00,3.040926949e+00,2.297665549e-02,2.804800353e+00,2.802472463e+00,2.802472475e+00,2.800358549e+00,2.800358557e+00,-1.093719625e-04,-1.294136887e-05,9.031314147e-05,5.759753629e-05
1.500000000e-08,3.000000000e+00,3.118033495e+00,3.117939054e+00,1.884940468e-02,2.845801492e+00,2.843950550e+00,2.843950559e+00,2.842284190e+00,2.842284196e+00,-8.761118850e-05,-1.256207501e-05,7.119372597e-05,4.476827509e-05
1.600000000e-08,3.000000000e+00,3.188655398e+00,3.188565703e+00,1.558022887e-02,2.877034506e+00,2.875553233e+00,2.875553240e+00,2.874233798e+00,2.874233803e+00,-7.078288863e-05,-1.215816061e-05,5.637537057e-05,3.482410995e-05
1.700000000e-08,3.000000000e+00,3.252612950e+00,3.252528198e+00,1.294061285e-02,2.900757224e+00,2.899560372e+00,2.899560377e+00,2.898507882e+00,2.898507886e+00,-5.787301231e-05,-1.172776251e-05,4.497453341e-05,2.717279523e-05
1.800000000e-08,3.000000000e+00,3.309653440e+00,3.309573836e+00,1.076322199e-02,2.918735934e+00,2.917756720e+00,2.917756725e+00,2.916908509e+00,2.916908512e+00,-4.803238439e-05,-1.127003483e-05,3.625079702e-05,2.131781816e-05
1.900000000e-08,3.000000000e+00,3.359552390e+00,3.359478136e+00,8.925583946e-03,2.932339030e+00,2.931525676e+00,2.931525679e+00,2.930833151e+00,2.930833153e+00,-4.057138389e-05,-1.078493431e-05,2.960263144e-05,1.685568907e-05
2.000000000e-08,3.000000000e+00,3.402112536e+00,3.402043828e+00,7.337973805e-03,2.942618691e+00,2.941931350e+00,2.941931353e+00,2.941357113e+00,2.941357115e+00,-3.494172945e-05,-1.027296354e-05,2.455168673e-05,1.346548129e-05
2.100000000e-08,3.000000000e+00,3.437165579e+00,3.437102599e+00,5.934570333e-03,2.950379655e+00,2.949787832e+00,2.949787834e+00,2.949303260e+00,2.949303261e+00,-3.071375533e-05,-9.735179571e-06,2.072311499e-05,1.089567278e-05
2.200000000e-08,3.000000000e+00,3.464573920e+00,3.464516836e+00,4.666793656e-03,2.956235188e+00,2.955715642e+00,2.955715644e+00,2.955298919e+00,2.955298920e+00,-2.755410146e-05,-9.173001478e-06,1.782612831e-05,8.951125768e-06
2.300000000e-08,3.000000000e+00,3.484228645e+00,3.484177606e+00,3.498486176e-03,2.960650948e+00,2.960186018e+00,2.960186019e+00,2.959820566e+00,2.959820567e+00,-2.520622604e-05,-8.588086699e-06,1.563700744e-05,7.481698782e-06
2.400000000e-08,3.000000000e+00,3.496053001e+00,3.496008137e+00,2.402475131e-03,2.963980025e+00,2.963556325e+00,2.963556326e+00,2.963229578e+00,2.963229579e+00,-2.347355028e-05,-7.982406539e-06,1.398444188e-05,6.372416298e-06
2.500000000e-08,3.000000000e+00,3.499999497e+00,3.499960916e+00,1.358062370e-03,2.966489246e+00,2.966096644e+00,2.966096644e+00,2.965799090e+00,2.965799090e+00,-2.220631008e-05,-7.358085464e-06,1.273801477e-05,5.535745169e-06
2.600000000e-08,3.000000000e+00,3.496053960e+00,3.496021747e+00,3.489879446e-04,2.968380735e+00,2.968011575e+00,2.968011576e+00,2.967736030e+00,2.967736030e+00,-2.129029484e-05,-6.717350813e-06,1.179837884e-05,4.905003432e-06
2.700000000e-08,3.000000000e+00,3.484230232e+00,3.484204015e+00,-1.723816035e-03,2.969791038e+00,2.969440105e+00,2.969440105e+00,2.969181661e+00,2.969181661e+00,-2.067816126e-05,-6.105908582e-06,1.106790159e-05,4.414948041e-06
2.800000000e-08,3.000000000e+00,3.464575259e+00,3.464554856e+00,-5.417756741e-03,2.970835051e+00,2.970498014e+00,2.970498014e+00,2.970252612e+00,2.970252612e+00,-2.029665360e-05,-5.504921767e-06,1.051099214e-05,4.041259287e-06
2.900000000e-08,3.000000000e+00,3.437166904e+00,3.437152345e+00,-1.068997714e-02,2.971609213e+00,2.971282439e+00,2.971282439e+00,2.971046673e+00,2.971046673e+00,-2.007729242e-05,-4.892977020e-06,1.009968380e-05,3.765130993e-06
3.000000000e-08,3.000000000e+00,3.402113776e+00,3.402105071e+00,-1.749672009e-02,2.972185361e+00,2.971866121e+00,2.971866121e+00,2.971637429e+00,2.971637429e+00,-1.997793853e-05,-4.272664547e-06,9.797762504e-06,3.562410021e-06
